PrimaryPropertyType,Neighborhood,NumberofBuildings,PropertyGFATotal,LargestPropertyUseType,SecondLargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),ElectricityProp,SteamProp,GasProp,Age,BuildingArea,ParkingArea,LargestUsedArea,SecondLargestUsedArea
Hotel,DOWNTOWN,1.0,994212,Hotel,Parking,63.0,80469216.0,0.5659994127443717,0.1441381757714652,0.2898622996401506,34,0.8524519921304511,0.14754800786954894,1.0,0.0
Hotel,DOWNTOWN,1.0,71150,Hotel,Parking,98.0,5348309.0,0.606528156843593,0.0,0.3934716561814211,31,1.0,0.0,0.5810260014054813,0.19297259311314124
Hotel,DOWNTOWN,1.0,122810,Hotel,Other - Entertainment/Public Assembly,99.0,5401277.5,0.2394916758118797,0.0,0.7605082316174275,108,1.0,0.0,0.7194853839263904,0.21537334093314878
Hotel,LAKE UNION,1.0,113173,Hotel,Parking,86.0,5284343.5,0.5572461366298387,0.0,0.4427537687510284,57,0.6240622763379958,0.3759377236620042,0.6240622763379958,0.3759377236620042
Hotel,LAKE UNION,1.0,150453,Hotel,Restaurant,84.0,6715187.0,0.5057355811535852,0.0,0.49426441884641487,16,0.7691305590450174,0.23086944095498263,0.714821239855636,0.019939781858786466
Hotel,LAKE UNION,1.0,116300,Hotel,Parking,80.0,5827595.5,0.547130802060644,0.0,0.4528691121406762,19,0.7575236457437661,0.24247635425623387,0.7608770421324161,0.24333619948409285
Hotel,MAGNOLIA / QUEEN ANNE,1.0,155602,Hotel,NONE,81.0,6836900.0,0.666813468092264,0.0,0.3331863856426158,18,0.7638590763614863,0.23614092363851363,1.0,0.0
K-12 School,EAST,1.0,56072,K-12 School,NONE,76.0,3234787.75,0.17060377454440404,0.0,0.8293959936011258,105,1.0,0.0,1.0,0.0
Hotel,MAGNOLIA / QUEEN ANNE,1.0,122942,Hotel,Parking,94.0,5337334.0,0.454108736683895,0.0,0.545891263316105,17,0.6348603406484359,0.36513965935156417,0.6348603406484359,0.36513965935156417
Small and Mid-Sized Office,CENTRAL,1.0,54984,Office,NONE,71.0,3375211.0,0.5861055797696796,0.0,0.4138944202303204,54,1.0,0.0,1.0,0.0
Senior Care Community,SOUTHWEST,1.0,217603,Senior Care Community,Parking,54.0,42792072.0,0.27633090540696414,0.0,0.7236690945930359,94,1.0,0.0,1.0,0.0
Senior Care Community,NORTHWEST,1.0,93397,Senior Care Community,NONE,1.0,16402563.0,0.3462567404862277,0.0,0.6537431985476904,46,1.0,0.0,1.0,0.0
Hotel,LAKE UNION,1.0,84103,Hotel,Parking,74.0,3706100.25,0.7589346780352204,0.0,0.24106525450842836,8,0.7534927410437202,0.2465072589562798,0.7534927410437202,0.2465072589562798
Medical Office,EAST,0.0,179014,Medical Office,NONE,48.0,16701055.0,0.5919676331824546,0.0,0.40803230694108844,51,1.0,0.0,1.0,0.0
Hotel,EAST,1.0,76631,Hotel,NONE,71.0,7258758.5,0.3665560715375777,0.0,0.6334438595801196,108,1.0,0.0,1.0,0.0
Retail Store,LAKE UNION,1.0,58320,Retail Store,NONE,96.0,1049748.625,0.34465679819299594,0.0,0.6553426064263719,87,1.0,0.0,1.0,0.0
Large Office,LAKE UNION,1.0,316306,Office,Parking,96.0,13795954.0,0.9329612870556107,0.0,0.06703856797434958,6,1.0,0.0,0.8277617244061131,0.47651957281872614
Hotel,LAKE UNION,1.0,282863,Hotel,Parking,37.0,19459304.0,0.5642880135897974,0.0,0.4357119350209031,26,0.8417396407448129,0.15826035925518714,0.8335766784627187,0.18219774236998124
Large Office,LAKE UNION,1.0,571329,Office,Parking,91.0,39605888.0,0.8131669462883903,0.0,0.1868329527165254,6,1.0,0.0,1.0,0.0
Large Office,MAGNOLIA / QUEEN ANNE,1.0,920598,Office,Parking,93.0,36667044.0,0.7526448273277769,0.0,0.2473550908548832,6,0.6700981318664607,0.3299018681335393,0.7925109548358784,0.20097154241047666
Small and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,76213,Office,Parking,68.0,3476212.5,0.8470978111953743,0.0,0.15290204496992058,46,0.6597693306916143,0.3402306693083857,0.6369779433954837,0.28150053140540326
Hotel,MAGNOLIA / QUEEN ANNE,1.0,96910,Hotel,Parking,56.0,5155568.5,0.5114879183546878,0.0,0.48851217862782736,14,0.6188835001547828,0.3811164998452172,0.6188835001547828,0.3811164998452172
Hotel,NORTHEAST,2.0,50017,Hotel,Swimming Pool,53.0,5448975.0,0.3905883216568254,0.0,0.6094116783431747,54,1.0,0.0,1.0,0.0
K-12 School,EAST,1.0,67743,K-12 School,NONE,34.0,2646879.0,0.5054201570982277,0.0,0.49457984290177226,93,1.0,0.0,1.0,0.0
K-12 School,EAST,1.0,194104,K-12 School,NONE,100.0,6219841.5,0.30352750950325663,0.0,0.6964725708846439,108,1.0,0.0,1.0,0.0
Small and Mid-Sized Office,SOUTHEAST,1.0,99433,Office,Parking,63.0,4897760.0,1.0,0.0,0.0,13,0.6404413021833798,0.35955869781662025,0.6404413021833798,0.35955869781662025
Hotel,NORTHWEST,1.0,51390,Hotel,Parking,89.0,3611538.0,0.3871727225353852,0.0,0.6128272774646149,15,1.0,0.0,1.0,0.0
K-12 School,NORTHWEST,1.0,245587,K-12 School,NONE,92.0,11765682.0,0.3336832493008055,0.0,0.6663166657062464,57,1.0,0.0,1.0,0.0
Hotel,NORTHWEST,1.0,69138,Hotel,NONE,78.0,3242458.0,0.5560253980159496,0.0,0.44397429357604634,14,1.0,0.0,1.0,0.0
Hotel,DOWNTOWN,1.0,190980,Hotel,Parking,98.0,6505995.0,0.6767466006352603,0.0,0.32325324566034863,112,1.0,0.0,1.0,0.0
Hospital,BALLARD,4.0,285333,Hospital (General Medical & Surgical),Parking,14.0,68090728.0,0.5175037194491444,0.0,0.4824961190016943,62,1.0,0.0,1.0,0.0
Hotel,MAGNOLIA / QUEEN ANNE,1.0,162222,Hotel,Parking,76.0,7946961.0,0.5281845475270358,0.0,0.4718154524729642,20,0.9124656335145664,0.08753436648543354,0.700903699868082,0.20152630346068967
Residence Hall,MAGNOLIA / QUEEN ANNE,1.0,139600,Residence Hall/Dormitory,NONE,89.0,4448582.5,0.5206822622711841,0.0,0.47931762533346295,15,0.7313753581661891,0.2686246418338109,0.9707736389684813,0.0
K-12 School,NORTH,1.0,236758,K-12 School,Parking,96.0,8355988.5,0.5732353509103082,0.0,0.42676446957771663,5,1.0,0.0,1.0,0.0
Small and Mid-Sized Office,GREATER DUWAMISH,1.0,64015,Office,Non-Refrigerated Warehouse,21.0,3242077.75,0.8196540012033949,0.0,0.18034607590764903,9,1.0,0.0,0.46864016246192297,0.23432008123096149
Retail Store,NORTH,1.0,530039,Retail Store,Restaurant,98.0,27717034.0,0.5853631019827014,0.0,0.41463682585950573,65,1.0,0.0,0.9529544052418785,0.047045594758121576
Retail Store,NORTH,1.0,124342,Retail Store,NONE,76.0,8765978.0,0.9871826052951536,0.0,0.012817280627443965,51,1.0,0.0,0.9811648517797688,0.0
Hospital,NORTHEAST,6.0,879000,Hospital (General Medical & Surgical),NONE,10.0,253832464.0,0.45558085115542984,0.0,0.5444190858108677,63,1.0,0.0,1.0,0.0
Other,NORTHWEST,1.0,55442,Financial Office,Parking,72.0,3191228.25,0.5826424355575318,0.0,0.4173574861027255,20,1.0,0.0,0.5165037336315429,0.2774972042855597
Warehouse,GREATER DUWAMISH,1.0,114297,Non-Refrigerated Warehouse,NONE,61.0,2100097.75,0.43449168020869505,0.0,0.5655084388333829,112,1.0,0.0,1.0,0.0
Warehouse,GREATER DUWAMISH,1.0,234144,Non-Refrigerated Warehouse,NONE,87.0,6744317.0,0.19524838467705477,0.0,0.8047516153229453,79,1.0,0.0,1.0,0.0
Retail Store,DELRIDGE,1.0,64984,Retail Store,NONE,72.0,2944296.25,0.8877119617293946,0.0,0.1122879533606715,50,1.0,0.0,1.0,0.0
Retail Store,DELRIDGE,1.0,67745,Retail Store,NONE,37.0,9230223.0,0.2842945397960591,0.0,0.7157054602039409,51,1.0,0.0,1.0,0.0
K-12 School,DELRIDGE,1.0,367884,K-12 School,NONE,97.0,12265516.0,0.6689502504419708,0.0,0.3310497495580292,6,1.0,0.0,1.0,0.0
Hotel,LAKE UNION,1.0,123920,Hotel,Parking,79.0,9373179.0,0.4352010134448515,0.0,0.5647988798677589,18,0.7579083279535184,0.2420916720464816,1.0,0.0
Hotel,MAGNOLIA / QUEEN ANNE,1.0,207656,Hotel,NONE,76.0,11171988.0,0.4950584443878744,0.0,0.5049414661025414,18,0.7383124012790384,0.2616875987209616,0.6818536425626999,0.0
Hotel,NORTHWEST,1.0,64893,Hotel,NONE,70.0,6197825.0,0.42281735931556635,0.0,0.5771826406844337,48,1.0,0.0,1.0,0.0
Small and Mid-Sized Office,DOWNTOWN,1.0,44558,Office,Self-Storage Facility,78.0,1677002.25,0.7857097389106067,0.0,0.21429011201386283,116,1.0,0.0,0.7723865523587234,0.17218007989586606
Hotel,GREATER DUWAMISH,1.0,168449,Hotel,Parking,64.0,12726789.0,0.48969406187216585,0.0,0.5103058595534191,11,0.9135227873124804,0.08647721268751966,0.8014651318796787,0.12229220713687823
Warehouse,GREATER DUWAMISH,0.0,79600,Non-Refrigerated Warehouse,NONE,34.0,2411402.25,0.9999998963258826,0.0,0.0,100,1.0,0.0,1.0,0.0
Hospital,CENTRAL,6.0,597519,Hospital (General Medical & Surgical),Parking,34.0,143423024.0,0.4096617499851349,0.0,0.5903382290977215,26,1.0,0.0,1.0,0.0
Warehouse,LAKE UNION,1.0,75397,Non-Refrigerated Warehouse,Parking,91.0,549181.375,0.770931097217199,0.0,0.2290682199482821,25,0.8917596190829874,0.10824038091701262,0.8917596190829874,0.10824038091701262
Hospital,EAST,9.0,1158691,Hospital (General Medical & Surgical),Parking,29.0,293090784.0,0.5755336271508285,0.41821523804719835,0.006251063151818516,16,1.0,0.0,1.0,0.0
K-12 School,NORTHEAST,1.0,55653,K-12 School,NONE,98.0,1377627.0,0.004455487588440122,0.0,0.9955445124115598,88,1.0,0.0,0.9972508220581101,0.0
Hotel,NORTHEAST,1.0,106860,Hotel,NONE,49.0,11935719.0,0.2984103429378657,0.0,0.7015895732800009,85,1.0,0.0,1.0,0.0
Small and Mid-Sized Office,NORTH,1.0,50759,Office,Restaurant,62.0,3147042.0,0.8129961405027324,0.0,0.18700385949726758,44,1.0,0.0,0.9275005417758427,0.07249945822415729
Worship Facility,NORTHEAST,1.0,56772,Worship Facility,NONE,46.0,2439484.75,0.39972088368250713,0.0,0.6002792187981499,64,1.0,0.0,1.0,0.0
Worship Facility,NORTHEAST,1.0,103000,Worship Facility,NONE,42.0,4854429.5,0.4817115996843707,0.0,0.5182885033143442,64,1.0,0.0,1.0,0.0
Residence Hall,DOWNTOWN,1.0,107572,Residence Hall/Dormitory,Office,76.0,5572503.0,0.44792367092489677,0.5520762393488169,0.0,103,1.0,0.0,0.5943368162718923,0.2523240248391775
Medical Office,MAGNOLIA / QUEEN ANNE,1.0,190000,Medical Office,Office,1.0,28731502.0,0.652435121560996,0.0,0.34756480882899893,89,0.7947368421052632,0.20526315789473684,0.7723210526315789,0.05160526315789474
Hotel,DOWNTOWN,1.0,122309,Hotel,NONE,8.0,25453690.0,0.24839357279828583,0.0,0.751606348627645,55,1.0,0.0,1.0,0.0
Hotel,DOWNTOWN,1.0,254273,Hotel,NONE,29.0,26659244.0,0.5162765305722848,0.0,0.48372339440683315,13,0.8474081007421158,0.15259189925788424,1.0,0.0
Small and Mid-Sized Office,DOWNTOWN,1.0,56500,Office,Retail Store,98.0,1380293.625,0.6430023177133778,0.3569978181272843,0.0,102,1.0,0.0,0.584070796460177,0.12389380530973451
Warehouse,GREATER DUWAMISH,1.0,203504,Non-Refrigerated Warehouse,Other - Services,72.0,3785282.5,0.9999998679094625,0.0,0.0,8,1.0,0.0,0.7831393977513955,0.21686060224860446
Large Office,DOWNTOWN,0.0,100734,Office,NONE,20.0,9788717.0,0.999999897841566,0.0,0.0,48,0.7346377588500407,0.2653622411499593,1.0,0.0
Small and Mid-Sized Office,DOWNTOWN,1.0,77662,Office,Parking,57.0,5007401.0,0.8559534177510449,0.0,0.14404638254455754,35,0.7617367567149957,0.23826324328500426,0.7997218717004455,0.22623676959130593
Large Office,DOWNTOWN,1.0,234000,Office,Laboratory,39.0,18661606.0,0.9777374466056137,0.0,0.022262392636517993,38,0.9068803418803418,0.09311965811965812,0.7426752136752137,0.12762820512820514
Large Office,DOWNTOWN,1.0,369996,Office,Parking,74.0,24755086.0,0.9999999192085214,0.0,0.0,27,1.0,0.0,1.0,0.0
Retail Store,DOWNTOWN,1.0,693450,Retail Store,Office,93.0,40062888.0,0.9359551912483194,0.0005299368527800592,0.0635147421224351,91,1.0,0.0,0.5207397793640494,0.4792602206359507
Large Office,DOWNTOWN,1.0,791396,Office,Parking,89.0,40847752.0,0.9998013354565999,0.0,0.013177004208211997,40,1.0,0.0,0.7859958857512548,0.16738143735879382
Large Office,DOWNTOWN,1.0,747747,Office,Parking,90.0,30985420.0,0.8999051489377907,0.0,0.10009472196923586,16,0.7257414606812197,0.2742585393187803,0.7254606170268821,0.29293999173517243
Small and Mid-Sized Office,DOWNTOWN,1.0,63409,Office,Retail Store,90.0,3444270.0,0.39423303051154523,0.6057668969041335,0.0,90,0.8776672081250295,0.12233279187497043,0.7137788011165608,0.09757289974609283
Large Office,DOWNTOWN,1.0,204790,Office,Other - Recreation,91.0,7739699.0,0.8703279029326593,0.0,0.12967196786334972,86,0.8535084720933639,0.14649152790663605,0.6935592558230382,0.08335367937887592
Small and Mid-Sized Office,DOWNTOWN,1.0,73399,Office,Retail Store,61.0,3757006.0,0.9999997338306087,0.0,0.0,100,1.0,0.0,0.7024210139102712,0.13591465823785065
Large Office,DOWNTOWN,1.0,265851,Office,Parking,90.0,14633233.0,0.5511016601731141,0.44889820315168905,0.0,47,0.8783754810025165,0.12162451899748355,0.8518079676209606,0.10988862182199803
Large Office,DOWNTOWN,1.0,758043,Office,Parking,95.0,27018020.0,0.9671931177784309,0.0,0.032806734172230234,7,0.6983442891762077,0.30165571082379233,0.7687228824750048,0.2520727715973896
Large Office,DOWNTOWN,1.0,206000,Office,Parking,91.0,8580279.0,0.7304868524671517,0.26951300184993987,0.0,48,1.0,0.0,0.7815533980582524,0.2487864077669903
Large Office,DOWNTOWN,1.0,824887,Office,Parking,97.0,39523852.0,0.9999998734941119,0.0,0.0,7,0.812129418938594,0.187870581061406,0.9014107386829954,0.19532251084087882
Large Office,DOWNTOWN,1.0,480840,Office,Parking,94.0,17867002.0,0.9925154762953516,0.0,0.007484411766450801,26,0.7055153481407537,0.2944846518592463,0.6483154479660594,0.25654271691207053
Small and Mid-Sized Office,DOWNTOWN,1.0,89550,Office,Retail Store,85.0,3903259.75,0.9107444104892072,0.08925534932693116,0.0,116,1.0,0.0,0.7226353992183138,0.11231714126186489
Small and Mid-Sized Office,DOWNTOWN,1.0,89355,Office,Retail Store,66.0,4178233.5,0.9852491489525418,0.0,0.014750731379660806,116,1.0,0.0,0.9216607912260086,0.07833920877399138
Large Office,DOWNTOWN,1.0,388934,Office,NONE,89.0,18576900.0,0.9358156097088319,0.06418421534271057,0.0,94,1.0,0.0,1.0,0.0
Large Office,DOWNTOWN,1.0,384302,Office,Convenience Store without Gas Station,98.0,10062436.0,0.9999999006204859,0.0,0.0,87,1.0,0.0,0.9080592867068087,0.00856591925620996
Large Office,DOWNTOWN,1.0,378525,Office,Parking,69.0,24906132.0,0.5615108761167732,0.43848904358171714,0.0,58,0.7765008916187834,0.22349910838121656,0.6256574862954891,0.22009378508685026
Large Office,DOWNTOWN,1.0,1323055,Office,Parking,94.0,44683660.0,0.9963786314728919,0.0,0.0036212790089263057,33,1.0,0.0,0.7642426051827022,0.20610027549875098
Large Office,DOWNTOWN,1.0,589921,Office,Parking,84.0,24603420.0,0.9999998780657323,0.0,0.0,30,0.7805943507690013,0.21940564923099873,0.7974220276952337,0.18251087857526685
Large Office,DOWNTOWN,1.0,157941,Office,Parking,81.0,3743228.5,0.9999998664254667,0.0,0.0,48,0.6011611931037539,0.39883880689624607,0.5371499483984525,0.09751109591556341
Large Office,DOWNTOWN,1.0,635303,Office,Parking,95.0,18221224.0,0.990081072489971,0.00991875172052108,0.0,25,0.6895481368732715,0.3104518631267285,0.822705071438353,0.3060508135488106
Large Office,DOWNTOWN,1.0,776762,Office,Parking,81.0,32552428.0,0.9970792040458549,0.0,0.0029207037951209046,36,0.7906643218901027,0.20933567810989723,0.7802261181674696,0.19947808981386833
Large Office,DOWNTOWN,1.0,186768,Office,Parking,95.0,9641043.0,0.7764786444786109,0.2235211999365629,0.0,44,0.8727030326394243,0.1272969673605757,0.9773622890430909,0.18028248950569692
Large Office,DOWNTOWN,1.0,1123435,Office,Parking,89.0,45163308.0,0.8497802906731279,0.0,0.15021962075940054,47,0.6715608824720611,0.32843911752793886,0.7200950655801182,0.20673025141641482
Large Office,DOWNTOWN,1.0,1052469,Office,Parking,93.0,41213584.0,0.9999998786807767,0.0,0.0,14,0.8437768713377781,0.15622312866222188,0.7271957653859639,0.17632918404247536
Large Office,DOWNTOWN,1.0,617684,Office,Parking,28.0,69519808.0,0.987298785405161,0.012701178633865043,0.0,43,0.7223499394512405,0.27765006054875957,0.9415137837470292,0.3069530698544887
Large Office,DOWNTOWN,1.0,201480,Office,Retail Store,91.0,8921778.0,0.8184254304467115,0.18157444345734672,0.0,109,1.0,0.0,0.8028687710939051,0.14440142942227516
Large Office,DOWNTOWN,1.0,1354987,Office,Parking,89.0,61576184.0,0.99999993503982,0.0,0.0,26,0.8822128920794075,0.11778710792059259,0.8790600943034877,0.11778636990613194
Large Office,DOWNTOWN,1.0,199530,Office,Parking,69.0,13214416.0,0.661320560817822,0.0,0.338679439182178,13,0.8463388964065554,0.1536611035934446,0.8039793514759686,0.09316894702550994
Large Office,DOWNTOWN,1.0,372242,Office,Parking,98.0,13843866.0,0.8125610288339977,0.0,0.1874388266976869,10,0.8584173736440273,0.14158262635597274,0.8584173736440273,0.14158262635597274
Large Office,DOWNTOWN,1.0,114395,Office,NONE,99.0,2746560.75,0.5973612635365885,0.0,0.4026384633946291,107,0.9274793478735959,0.07252065212640413,0.8442851523230911,0.0
Retail Store,NORTHEAST,1.0,89200,Retail Store,NONE,83.0,6461937.0,0.8510025709009543,0.0,0.14899727434668583,38,1.0,0.0,1.0,0.0
Large Office,NORTHEAST,1.0,474546,Office,NONE,77.0,28450436.0,0.9999998945534613,0.0,0.0,45,1.0,0.0,1.0,0.0
Other,NORTHEAST,1.0,36000,Data Center,NONE,96.0,30038490.0,0.9999999001281356,0.0,0.0,47,1.0,0.0,1.0,0.0
Small and Mid-Sized Office,NORTHEAST,0.0,99005,Office,NONE,70.0,4728488.5,0.6055237313149857,0.0,0.39447637442704997,55,1.0,0.0,0.8035452754911369,0.0
Large Office,NORTHEAST,1.0,135051,Office,Parking,88.0,4426136.0,1.0,0.0,0.0,14,0.6723608118414525,0.32763918815854753,0.7104205078081614,0.3146959296858224
Large Office,NORTHEAST,1.0,220649,Office,Parking,93.0,7046345.5,0.9999999290412314,0.0,0.0,14,0.625105937484421,0.37489406251557905,0.6605695017879075,0.4078876405512828
Large Office,DOWNTOWN,1.0,413715,Office,Parking,79.0,24224888.0,0.9999999174402788,0.0,0.0,36,0.843708833375633,0.156291166624367,0.8418113919002211,0.16831393592207194
Mixed Use Property,DOWNTOWN,1.0,381381,Parking,Office,94.0,9765777.0,0.9903791577464856,0.0,0.009620739855108303,16,0.48707198313497524,0.5129280168650248,0.47936315652851086,0.43051961162197383
Large Office,DOWNTOWN,1.0,497513,Office,Parking,65.0,26823218.0,0.9917642991232446,0.0,0.008235589033351629,28,0.7613248297029425,0.23867517029705757,0.7389213950188236,0.2301648399137309
Large Office,DOWNTOWN,1.0,543876,Office,Parking,79.0,25307744.0,0.9999998814592087,0.0,0.0,37,0.7853904198751186,0.2146095801248814,0.7796703660393178,0.1972876170303525
Large Office,DOWNTOWN,1.0,396626,Office,Parking,64.0,20361158.0,0.9999999017737596,0.0,0.0,34,0.6868183124656477,0.31318168753435227,0.6908321693484543,0.3091678306515458
Large Office,DOWNTOWN,1.0,287471,Office,Parking,74.0,14913424.0,0.9999998658926347,0.0,0.0,14,0.7092193647359212,0.2907806352640788,0.6672464352926034,0.2510792392971813
Large Office,DOWNTOWN,1.0,192630,Office,Parking,94.0,5357833.0,0.9648753516580304,0.0,0.03512446169934748,69,0.7481596843689976,0.25184031563100245,0.7587447438093755,0.25021543892436277
Large Office,DOWNTOWN,1.0,253103,Office,Parking,3.0,29949248.0,0.9999998330509,0.0,0.0,32,0.755095751531985,0.244904248468015,0.6269423910423819,0.27731792985464415
Supermarket / Grocery Store,NORTHWEST,1.0,60880,Supermarket/Grocery Store,NONE,54.0,14293972.0,0.5684366808609951,0.0,0.43156324917944433,60,1.0,0.0,1.0,0.0
Small and Mid-Sized Office,DOWNTOWN,1.0,50176,Office,Other,77.0,2933288.75,0.9670558345133938,0.0,0.032943909800901804,116,1.0,0.0,1.0,0.0
Large Office,DOWNTOWN,1.0,304346,Office,Retail Store,72.0,23262244.0,0.4831753978678927,0.043608104832878546,0.47321647043165743,104,1.0,0.0,0.8050968305809835,0.027695451886997038
Warehouse,GREATER DUWAMISH,1.0,128800,Non-Refrigerated Warehouse,Other,97.0,1809101.5,0.2055440228201679,0.0,0.7944562535601236,39,1.0,0.0,0.9254658385093167,0.07453416149068323
Large Office,DOWNTOWN,1.0,321945,Office,Performing Arts,76.0,13656587.0,0.7290222659585444,0.2709776425105336,0.0,89,1.0,0.0,0.5184705462113094,0.12224137663265465
Large Office,DOWNTOWN,1.0,336330,Office,Parking,77.0,18967014.0,0.6924762643186745,0.28315537701400967,0.024368305944203975,52,1.0,0.0,0.762046204620462,0.1975143460291975
Large Office,DOWNTOWN,1.0,298426,Office,Parking,79.0,27076922.0,0.5287140835284011,0.4712858795397793,0.0,56,1.0,0.0,0.9601643288453419,0.6626433353662214
Large Office,DOWNTOWN,1.0,635824,Office,Parking,69.0,48479988.0,0.9999998762375931,0.0,0.0,40,1.0,0.0,1.0,0.0
Hotel,DOWNTOWN,1.0,542305,Hotel,Swimming Pool,45.0,56485204.0,0.42627281650607124,0.5034749276996503,0.07025222038677598,93,1.0,0.0,1.0,0.0
